time 	 dipole_real 	 dipole_imag 
0.03580059366097539	4.490408045398908e-12	2.3812063432160357e-12
0.07160118732195078	2.0459189897792385e-12	2.391420395042587e-12
0.10740178098292617	-8.545608665144755e-12	2.4562574196806963e-12
0.14320237464390156	-3.705591389291385e-11	2.6965096822095802e-12
0.17900296830487694	-9.715717119718192e-11	3.341327214911871e-12
0.21480356196585235	-2.064117765598894e-10	4.768185846160122e-12
0.25060415562682775	-3.8626346565706626e-10	7.539302515624513e-12
0.28640474928780313	-6.620217707364873e-10	1.2433165608172203e-11
0.3222053429487785	-1.0628460334061174e-09	2.048761160722279e-11
0.3580059366097539	-1.6217291953779522e-09	3.303046725022796e-11
0.3938065302707293	-2.375474261739896e-09	5.171818528992844e-11
0.4296071239317047	-3.3646712083168495e-09	7.856826300667308e-11
0.46540771759268007	-4.633670114273514e-09	1.159983220588856e-10
0.5012083112536555	-6.230558069475478e-09	1.6685453019249508e-10
0.5370089049146308	-8.207118984415729e-09	2.3445334562666176e-10
0.5728094985756063	-1.0618810497575737e-08	3.226068301387386e-10
0.6086100922365817	-1.3524722897173547e-08	4.3566128482552813e-10
0.644410685897557	-1.6987539375179495e-08	5.785323331508607e-10
0.6802112795585324	-2.1073501610402445e-08	7.567266813168771e-10
0.7160118732195078	-2.585236225094434e-08	9.763860830958038e-10
0.7518124668804832	-3.139734205959144e-08	1.2443082120228155e-09
0.7876130605414586	-3.778508128604585e-08	1.567981300354404e-09
0.823413654202434	-4.5095591927335477e-08	1.9556156694022775e-09
0.8592142478634094	-5.341220310484118e-08	2.416166822172272e-09
0.8950148415243848	-6.282151021608229e-08	2.9593714145903505e-09
0.9308154351853601	-7.341331453858402e-08	3.595761022268107e-09
0.9666160288463356	-8.528056816281548e-08	4.336705217156123e-09
1.002416622507311	-9.85193118197003e-08	5.1944253343094715e-09
1.0382172161682863	-1.1322860848927974e-07	6.18202333768636e-09
1.0740178098292616	-1.2951048566911538e-07	7.313504468697829e-09
1.1098184034902372	-1.474698589909451e-07	8.603801671114297e-09
1.1456189971512125	-1.672144711584167e-07	1.0068796019169213e-08
1.1814195908121878	-1.8885481267716386e-07	1.1725336701573497e-08
1.2172201844731634	-2.12504055685514e-07	1.3591261449619196e-08
1.2530207781341387	-2.3827796979958293e-07	1.5685419185729188e-08
1.288821371795114	-2.662948543896704e-07	1.8027679793419793e-08
1.3246219654560896	-2.9667544798606116e-07	2.06389576540289e-08
1.360422559117065	-3.2954285811293005e-07	2.354122274894621e-08
1.3962231527780402	-3.6502246647529546e-07	2.6757517535003217e-08
1.4320237464390155	-4.0324185257567535e-07	3.031196804670344e-08
1.467824340099991	-4.4433069956717475e-07	3.422979677480953e-08
1.5036249337609664	-4.884207103206251e-07	3.853733065994902e-08
1.5394255274219417	-5.3564551416585e-07	4.32620166357367e-08
1.5752261210829173	-5.861405720786195e-07	4.843242162877459e-08
1.6110267147438926	-6.400430876407626e-07	5.407824410497142e-08
1.646827308404868	-6.974919062319174e-07	6.023031806634549e-08
1.6826279020658435	-7.586274173299046e-07	6.692061660373838e-08
1.7184284957268188	-8.23591459253592e-07	7.41822550054394e-08
1.754229089387794	-8.925272134696627e-07	8.204949253354243e-08
1.7900296830487696	-9.655791042284534e-07	9.055772887123226e-08
1.825830276709745	-1.042892694425035e-06	9.974350634323059e-08
1.8616308703707203	-1.1246145792398465e-06	1.0964450325445796e-07
1.8974314640316958	-1.2108922808895528e-06	1.2029953389003367e-07
1.9332320576926711	-1.3018741380488308e-06	1.317485334162427e-07
1.9690326513536465	-1.3977091977146472e-06	1.4403256098916017e-07
2.004833245014622	-1.4985471037398668e-06	1.5719378199108291e-07
2.040633838675597	-1.604537984034593e-06	1.7127546225736978e-07
2.0764344323365727	-1.7158323364352412e-06	1.8632195031287324e-07
2.112235025997548	-1.832580916572013e-06	2.023786689342444e-07
2.1480356196585233	-1.9549346192970773e-06	2.194920956100077e-07
2.183836213319499	-2.083044362999331e-06	2.377097456651711e-07
2.2196368069804744	-2.2170609705884914e-06	2.57080157606282e-07
2.2554374006414495	-2.357135052033499e-06	2.7765286558789626e-07
2.291237994302425	-2.5034168822379854e-06	2.994783794285638e-07
2.3270385879634006	-2.6560562824684553e-06	3.22608164182725e-07
2.3628391816243757	-2.8152024966754396e-06	3.470946103867334e-07
2.398639775285351	-2.9810040687028305e-06	3.729910096339495e-07
2.4344403689463268	-3.153608719941303e-06	4.0035152171213895e-07
2.470240962607302	-3.333163226981739e-06	4.2923114929038775e-07
2.5060415562682774	-3.519813289276641e-06	4.596856988392517e-07
2.541842149929253	-3.7137034132328495e-06	4.917717513208686e-07
2.577642743590228	-3.9149767798729584e-06	5.255466266618214e-07
2.6134433372512036	-4.123775119380113e-06	5.610683406764849e-07
2.649243930912179	-4.340238585420764e-06	5.983955717603351e-07
2.6850445245731542	-4.564505626358795e-06	6.375876155928495e-07
2.72084511823413	-4.7967128560255645e-06	6.787043456135677e-07
2.7566457118951053	-5.036994927376526e-06	7.218061646163676e-07
2.7924463055560804	-5.285484403483309e-06	7.669539585641871e-07
2.828246899217056	-5.542311626971497e-06	8.142090544005498e-07
2.864047492878031	-5.807604592344973e-06	8.636331623179672e-07
2.8998480865390066	-6.081488816311875e-06	9.152883282403934e-07
2.935648680199982	-6.364087208332592e-06	9.692368809766094e-07
2.9714492738609573	-6.655519939613441e-06	1.025541373600447e-06
3.007249867521933	-6.955904317207384e-06	1.0842645297159947e-06
3.0430504611829083	-7.26535465034317e-06	1.1454691817291973e-06
