time 	 dipole_real 	 dipole_imag 
0.31423782481518314	9.44658129498066e-10	1.7763568394002505e-15
0.6284756496303663	9.380989318685806e-10	-5.10702591327572e-14
0.9427134744455494	9.408467338545279e-10	-1.5987211554602254e-14
1.2569512992607326	8.208904667128536e-10	-1.014299755297543e-12
1.5711891240759157	6.670106689199429e-10	-1.8207657603852567e-12
1.8854269488910989	8.333431722462592e-10	-2.540190280342358e-13
2.199664773706282	7.624116893367727e-10	3.779643265033883e-12
2.513902598521465	7.572387161758343e-10	1.2488232670193611e-11
2.8281404233366483	7.957221548338111e-10	2.1399326755044967e-11
3.1423782481518314	7.905627263937731e-10	4.516387264175137e-11
3.4566160729670146	8.217022617884595e-10	5.28177501735172e-11
3.7708538977821977	8.247376115377847e-10	7.083134079266529e-11
4.085091722597381	8.317637689714275e-10	7.455014383594971e-11
4.399329547412564	8.276117569039343e-10	8.249090299727868e-11
4.713567372227747	8.225455871979648e-10	8.540723683836404e-11
5.02780519704293	8.145437657702814e-10	8.878142665480482e-11
5.342043021858114	8.056679767776131e-10	9.123235500396731e-11
5.656280846673297	7.96134269620552e-10	9.338751993936967e-11
5.970518671488479	7.861107320650262e-10	9.552181268190907e-11
6.284756496303663	7.75964181798372e-10	9.735945383226863e-11
6.598994321118846	7.655625022806589e-10	9.92796955756603e-11
6.913232145934029	7.551639313874148e-10	1.0098721858753379e-10
7.227469970749212	7.446507854780293e-10	1.0273559780671349e-10
7.541707795564395	7.341880436939618e-10	1.0432943398086536e-10
7.855945620379579	7.237099808321545e-10	1.0592282606580739e-10
8.170183445194763	7.133253987490207e-10	1.0739586997488004e-10
8.484421270009944	7.030092064042037e-10	1.0883915990689275e-10
8.798659094825128	6.928368989633782e-10	1.1018519430194829e-10
9.112896919640312	6.82811807095618e-10	1.1148681977601882e-10
9.427134744455493	6.729925505766232e-10	1.1270540056784739e-10
9.741372569270677	6.633977811532077e-10	1.1387335518975306e-10
10.05561039408586	6.54079013173714e-10	1.1497025553808271e-10
10.369848218901044	6.450640022137577e-10	1.1601386518123036e-10
10.684086043716228	6.363991555957682e-10	1.169944141565793e-10
10.99832386853141	6.281186681889039e-10	1.1792344878358563e-10
11.312561693346593	6.202660607357302e-10	1.1879830452699025e-10
11.626799518161777	6.128748619715907e-10	1.1962431045731137e-10
11.941037342976959	6.059899249066802e-10	1.2040235475296868e-10
12.255275167792142	5.996452223655524e-10	1.2113599012764098e-10
12.569512992607326	5.938769476188099e-10	1.2182477249211843e-10
12.88375081742251	5.887184073571916e-10	1.2247580727375862e-10
13.197988642237693	5.842037964498559e-10	1.2308642993730246e-10
13.512226467052875	5.803606484278134e-10	1.2366285773168784e-10
13.826464291868058	5.772156086436553e-10	1.242037583892852e-10
14.140702116683242	5.747926579147133e-10	1.2471224053456353e-10
14.454939941498424	5.731102259431964e-10	1.2519141279199175e-10
14.769177766313607	5.721838558514492e-10	1.2564083107236002e-10
15.08341559112879	5.720257600927425e-10	1.2606493626776683e-10
15.397653415943974	5.726419338714095e-10	1.2646284019979248e-10
15.711891240759158	5.740337094550796e-10	1.2683631922527638e-10
16.02612906557434	5.762008647991479e-10	1.2718848196868748e-10
16.340366890389525	5.791320756287632e-10	1.2751932843002578e-10
16.654604715204705	5.828151294906547e-10	1.2783107905534052e-10
16.96884254001989	5.872335950840579e-10	1.2812373384463172e-10
17.283080364835072	5.923661561269e-10	1.283977368871092e-10
17.597318189650256	5.981830586421211e-10	1.286557527180321e-10
17.91155601446544	6.046509959389823e-10	1.2889866951582007e-10
18.225793839280623	6.117346629253007e-10	1.291278195481027e-10
18.540031664095807	6.193916490815354e-10	1.2934187054725044e-10
18.854269488910987	6.275771013974918e-10	1.2954437522694207e-10
19.16850731372617	6.362423921046911e-10	1.297344454087579e-10
19.482745138541354	6.45335562765581e-10	1.2991252518190777e-10
19.796982963356538	6.548024344965597e-10	1.3008083499244094e-10
20.11122078817172	6.645852757003468e-10	1.3023893075114756e-10
20.425458612986905	6.746245784228222e-10	1.3038681245802763e-10
20.73969643780209	6.848608347098661e-10	1.305267005591304e-10
21.053934262617272	6.952349806965685e-10	1.3065815096524602e-10
21.368172087432455	7.056839557151307e-10	1.3078071958716464e-10
21.682409912247635	7.161495840790622e-10	1.308966268709355e-10
21.99664773706282	7.26569693298984e-10	1.3100542872734877e-10
22.310885561878003	7.368894383574798e-10	1.3110801333482414e-10
22.625123386693186	7.470499774342443e-10	1.312043806933616e-10
22.93936121150837	7.569991300471202e-10	1.31294974892171e-10
23.253599036323553	7.666864920707894e-10	1.3137935184204252e-10
23.567836861138737	7.760625475583538e-10	1.3146017607823524e-10
23.882074685953917	7.850875505255317e-10	1.315343389762802e-10
24.1963125107691	7.93717536140548e-10	1.3160494916064636e-10
24.510550335584284	8.019176434004294e-10	1.3167200663133372e-10
24.824788160399468	8.096567860604864e-10	1.3173329094229302e-10
25.13902598521465	8.16908540812733e-10	1.3179146662878338e-10
25.453263810029835	8.236473725276028e-10	1.318465336908048e-10
25.76750163484502	8.298559617259116e-10	1.3189760394993755e-10
26.081739459660202	8.355187652853147e-10	1.3194556558460135e-10
26.395977284475386	8.406264573324052e-10	1.319904185947962e-10
26.710215109290566	8.451677135923319e-10	1.3203305115894182e-10
27.02445293410575	8.491416458866752e-10	1.3207301918782832e-10
27.338690758920933	8.525458117247808e-10	1.3210987859224588e-10
27.652928583736117	8.553830976865129e-10	1.3214407346140433e-10
27.9671664085513	8.57654391950291e-10	1.3217738015214309e-10
28.281404233366484	8.593661338096581e-10	1.3220713412920304e-10
